SourceKey,Post_Url,SourceId,CreateDate,Deal_Type,Price,Area,CurrencyId,AddressText,CadastralCode,From_Gov,Lat,Long,Description
MYHOME,https://www.myhome.ge/ka/product?id=7814887,7814887,2017-05-28 14:26:33,3,320.00,55,1,"ქალაქი - თბილისი, რაიონი - საბურთალო, უბანი - დიდი დიღომი",None,No,,,
MYHOME,https://www.myhome.ge/ka/product?id=7814886,7814886,2017-05-28 14:26:29,1,55000.00,70,1,"ქალაქი - თბილისი, რაიონი - საბურთალო, უბანი - საბურთალო, ლორთქიფანიძის 6  (შანხაის გორა)",None,No,,,"იყიდება 70 კვ/მ 3 ოთახიანი, გარემონტებული, გამჭოლი, მზიანი, ნათელი ბინა ახალ აშეებულ ჩაბარებულ კორპუსში. მაღალი პირევლი სართული, 2 საძინებელი და მისღები სტუდიო. ტელ: 591 91-80-16"
MYHOME,https://www.myhome.ge/ka/product?id=7814885,7814885,2017-05-28 14:26:15,1,20000.00,74,1,"ქალაქი - გორი, meliqishvilis chixi 11/9",None,No,,,iyideba saswrapod !! puli mchirdeba damikavshirdit mxolod realuri myidvelebi
MYHOME,https://www.myhome.ge/ka/product?id=7814884,7814884,2017-05-28 14:26:13,1,36000.00,80,1,"ქალაქი - თბილისი, რაიონი - მთაწმინდა, უბანი - მთაწმინდა, კოტე მესხის ქუჩა",None,No,,,"იყიდება 5 ოთახიანი ბინა კოტე მესხის ქუჩაზე. ახალი გარემონტებული.აბაზანა კაფელ-მეტლახში, იატაკი ლამინატი, მეტალო პლასმასის კარ-ფანჯარა, რკინის კარები, ინდივიუალური შესასვლელი"
MYHOME,https://www.myhome.ge/ka/product?id=7814883,7814883,2017-05-28 14:25:42,3,270.00,73,1,"ქალაქი - თბილისი, რაიონი - დიდუბე, უბანი - დიღმის მასივი (I-VI), ამერიკის საელჩოს მიმდებარედ",None,No,,,"ბინა არის უზრუნველყოფილი,ყველაფრით უზრუნველყოფილი.სააგენტოები ნუ გამომეხმაურებით."
MYHOME,https://www.myhome.ge/ka/product?id=7814882,7814882,2017-05-28 14:25:30,1,205000.00,170,1,"ქალაქი - თბილისი, რაიონი - საბურთალო, უბანი - დიღომი 1,3,4,5,6,7,8,9, digomi7a",01.72.14.011.428,Yes,41.80484986614228,44.774147272109985,
MYHOME,https://www.myhome.ge/ka/product?id=7702990,7702990,2017-05-28 14:25:02,3,350.00,55,1,"ქალაქი - თბილისი, რაიონი - ჩუღურეთი, უბანი - ქვემო  ჩუღურეთი , ჩიქობავას 43",None,No,,,"ქირავდება 55 კვ.მ-ის უნივერსალური კომერციული, საოფისე ფართი ჩუღურეთში, ჩიქობავას ქუჩაზე, 1 სართულზე, სუპერმარკეტ ფრესკოს მოპირდაპირე მხარეს ახალი რემონტით, გათბობით, კონდიციონერით, ტელეფონით, ინტერნეტით, საოფისე ავეჯით, ვიტრაჟით, ფასში არ შედის საშემოსავლო გადასახადი. ტელ 577452134."
MYHOME,https://www.myhome.ge/ka/product?id=7814881,7814881,2017-05-28 14:24:32,3,250.00,50,1,"ქალაქი - თბილისი, რაიონი - საბურთალო, უბანი - დიდი დიღომი, ტოიოტას ცენტრის მიმდებარედ",None,No,,,2ოთახი ტოიოტას ცენტრის მიმდებარედ ავეჯით და ტექნიკით სააგენტოები ნუ გამომეხმაურებით
MYHOME,https://www.myhome.ge/ka/product?id=7814880,7814880,2017-05-28 14:24:16,3,350.00,70,1,"ქალაქი - თბილისი, რაიონი - საბურთალო, უბანი - ვაჟა-ფშაველას გამზ.",None,No,,,
MYHOME,https://www.myhome.ge/ka/product?id=7814879,7814879,2017-05-28 14:24:03,7,100.00,120,3,"ქალაქი - ბათუმი, ლერმინტოვის 31",None,No,,,ქირავდება ბინა დგიურად ახალი გარემონტებული ლერმონტოვის 31. 3 ოთახიანი. 2 საძინებელი. ევრო რემონტითა და ყველანაირი კონფორტით.  
